global_key	local_key	global_meter	local_meter	local_mode	global_mode	path	phrase	part	bar_no	duration	chord	harte	root	rn_chord	rn_harte	sd	type	added	extensions	bass_note	songbook	title	composer	sub_genre	year	filename
C	C	2/4	(2, 4)	major	major	['P0', 'Intro', 'S']	P0	Intro	1	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P0', 'Intro', 'S']	P0	Intro	2	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P0', 'Intro', 'S']	P0	Intro	3	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P0', 'Intro', 'S']	P0	Intro	4	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P1', 'S']	P1		5	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	6	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	7	0.5	Dm	D:min	D	IIm	II:min	II	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	8	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	9	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	10	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P1', 'PartA', 'S']	P1	PartA	11	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	12	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	13	0.5	Dm	D:min	D	IIm	II:min	II	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	14	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	15	0.5	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P2', 'PartA', 'S']	P2	PartA	16	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	17	0.5	C7	C:7	C	I7	I:7	I		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	18	0.5	F	F:maj	F	IV	IV:maj	IV					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	19	0.5	D7	D:7	D	II7	II:7	II		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	20	0.5	G7/B	G:7/3	G	V7/3	V:7/3	V		7		B	1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	21	0.25	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	21	0.25	Am	A:min	A	VIm	VI:min	VI	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	22	0.5	D7	D:7	D	II7	II:7	II		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	23	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	24	0.25	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	24	0.25	Am	A:min	A	VIm	VI:min	VI	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	25	0.5	D7	D:7	D	II7	II:7	II		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P3', 'PartA', 'S']	P3	PartA	26	0.5	G	G:maj	G	V	V:maj	V					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	27	0.5	Cm	C:min	C	Im	I:min	I	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	28	0.5	Dm7(b5)	D:hdim7	D	IIm7(b5)	II:hdim7	II	m	7	(b5)		1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	29	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	30	0.5	Cm	C:min	C	Im	I:min	I	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	31	0.5	Bb7	Bb:7	Bb	VII7	VII:7	VII		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	32	0.5	Ab7	Ab:7	Ab	VI7	VI:7	VI		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P5', 'PartB', 'S']	P5	PartB	33	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	34	0.5	Cm	C:min	C	Im	I:min	I	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	35	0.5	Dm7(b5)	D:hdim7	D	IIm7(b5)	II:hdim7	II	m	7	(b5)		1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	36	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	37	0.5	Cm	C:min	C	Im	I:min	I	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	38	0.5	Bb7	Bb:7	Bb	VII7	VII:7	VII		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P4', 'PartB', 'S']	P4	PartB	39	0.5	Ab7	Ab:7	Ab	VI7	VI:7	VI		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	Cm	2/4	(2, 4)	minor	major	['P5', 'PartB', 'S']	P5	PartB	40	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	41	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	42	0.25	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	42	0.25	Am	A:min	A	VIm	VI:min	VI	m				1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	43	0.5	D7	D:7	D	II7	II:7	II		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	44	0.5	G7	G:7	G	V7	V:7	V		7			1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
C	C	2/4	(2, 4)	major	major	['P6', 'PartB', 'S']	P6	PartB	45	0.25	C	C:maj	C	I	I:maj	I					1	Forró de gala	Jacob do Bandolim	Baião	1952.0	1_forro_de_gala_WF.txt
